id;name;price;type;color;psu;side_panel;external_volume;internal_35_bays
7;Cooler Master MasterBox Q300L;46.98;MicroATX Mini Tower;Black;;Acrylic;33.6;1
19;Silverstone ALTA F2;999.99;ATX Full Tower;Black;;Tempered Glass;98.9;8
21;Fractal Design Terra;179.97;Mini ITX Desktop;Black / Brown;;Mesh;11.4;0
23;Deepcool MATREXX 40;46.98;MicroATX Mini Tower;Black;;Tempered Glass;;2
33;Asus Prime AP201;79.99;MicroATX Mini Tower;Black;;Mesh;33;3
34;Cooler Master MasterBox NR200;114.99;Mini ITX Desktop;Black;;;;2
40;Fractal Design North XL;179.99;ATX Full Tower;Black;;Tinted Tempered Glass;61.4;2
43;SAMA ARGB-Q5;53.84;MicroATX Mini Tower;Black;;Tempered Glass;31.5;2
47;Deepcool CH160;;Mini ITX Desktop;Black;;Tempered Glass;19.1;1
48;Lian Li O11 Dynamic EVO XL;231.99;ATX Full Tower;Black;;Tempered Glass;84.4;4
49;Fractal Design Terra;179.99;Mini ITX Desktop;Green / Brown;;Mesh;11.4;0
58;Corsair 7000D AIRFLOW;189.99;ATX Full Tower;Black;;Tempered Glass;81.8;6
59;Deepcool CC360 ARGB;59.99;MicroATX Mini Tower;Black;;Tinted Tempered Glass;38.7;2
61;Lian Li A4-H20 X4;154.99;Mini ITX Desktop;Black;;Mesh;11.1;0
63;Fractal Design Pop XL Air;109.97;ATX Full Tower;Black;;Tempered Glass;62.4;3
65;Cooler Master MasterBox NR200P;;Mini ITX Desktop;Black;;Tempered Glass;20.3;2
68;DIYPC MA08;35.96;MicroATX Mini Tower;Black;;;20.5;1
69;Lian Li PC-O11 Dynamic;119.99;ATX Full Tower;White;;Tempered Glass;54;3
2059;NZXT Phantom 630;;ATX Full Tower;Black;;Acrylic;92;6
72;Lian Li O11 Dynamic EVO XL;229.99;ATX Full Tower;White;;Tempered Glass;84.4;4
75;Zalman P30;99.99;MicroATX Mini Tower;White;;Tempered Glass;45.7;2
76;BitFenix Nova Mesh M ARGB;57.9;MicroATX Mini Tower;Black;;Tempered Glass;31.6;2
77;Asus Prime AP201;84.99;MicroATX Mini Tower;White;;Mesh;33;3
79;Cooler Master MasterBox NR200P V2;119.99;Mini ITX Desktop;Black;;Mesh;20.1;1
80;Asus Prime AP201;69.98;MicroATX Mini Tower;Black;;Tempered Glass;33;3
82;Fractal Design Ridge PCIe 4.0;129.99;Mini ITX Tower;Black;;Mesh;16.3;0
84;Fractal Design Terra;179.99;Mini ITX Desktop;Silver / Brown;;Mesh;11.4;0
87;SAMA IM01;55.9;MicroATX Mini Tower;Black;;;21.9;5
88;Cooler Master Cosmos Infinity 30th Anniversary;;ATX Full Tower;Black / Silver;;Tempered Glass;129.5;2
90;Deepcool MACUBE 110;60.69;MicroATX Mini Tower;Black;;Tempered Glass;38.8;2
95;Asus ROG Strix Helios;304.99;ATX Full Tower;Black;;Tempered Glass;83.5;2
96;Deepcool MATREXX 40 3FS;;MicroATX Mini Tower;Black;;Tempered Glass;;2
101;Cooler Master MasterBox Q300L;46.98;MicroATX Mini Tower;White;;Acrylic;33.6;1
102;Lian Li LANCOOL 205M MESH;79.98;MicroATX Mini Tower;Black;;Tempered Glass;33.8;2
104;Cooler Master Q300L V2;59.98;MicroATX Mini Tower;Black;;Tempered Glass;34.1;1
105;Corsair 2000D AIRFLOW;99.99;Mini ITX Tower;Black;;Mesh;24.8;0
106;Enermax MarbleShell M MS20 ARGB;;MicroATX Mini Tower;Black;;Tempered Glass;;2
109;Lian Li PC-O11 Dynamic;;ATX Full Tower;Black;;Tempered Glass;54;3
110;Phanteks Enthoo Pro;99.99;ATX Full Tower;Black;;Acrylic;68.6;6
113;DIYPC F2;38.97;MicroATX Mini Tower;White;;Acrylic;;2
118;Corsair Obsidian Series 1000D;524.99;ATX Full Tower;Black;;Tempered Glass;149.1;5
119;Deepcool MATREXX 30;;MicroATX Mini Tower;Black;;Tempered Glass;29.6;3
121;Cooler Master MasterBox NR200;93.99;Mini ITX Desktop;White / Black;;;;2
123;Fractal Design Ridge PCIe 4.0;129.99;Mini ITX Tower;White;;Mesh;16.3;0
124;Corsair iCUE 7000X RGB;229.99;ATX Full Tower;Black;;Tempered Glass;81.8;6
126;Thermaltake The Tower 300;139.99;MicroATX Mini Tower;Black;;Tempered Glass;53;3
130;DIYPC ARGB-Q3;;MicroATX Mini Tower;White;;Tempered Glass;40.5;2
132;Deepcool CH160;;Mini ITX Desktop;White;;Tempered Glass;19.1;1
134;Thermaltake Core V1;49.99;Mini ITX Desktop;Black;;;22.4;2
