id;name;price;core_count;core_clock;boost_clock;tdp;graphics;smt;socket
246;Core i9-12900;458;16;2.4;5.1;65;UHD Graphics 770;t;LGA 1151
2636;Xeon E5-2697 V3;;14;2.6;3.6;145;;t;LGA 1151
252;Core i9-13900T;;24;1.1;5.3;35;UHD Graphics 770;t;LGA 1150
260;Core i3-12100T;;4;2.2;4.1;35;UHD Graphics 730;t;AM3
306;Core i5-13500T;;14;1.6;4.6;35;UHD Graphics 770;t;LGA 775
315;Core i5-13600;;14;2.7;5;65;UHD Graphics 770;t;AM3+
331;Core i7-13700T;;16;1.4;4.9;35;;t;test
345;Core i3-13100T;;4;2.5;4.2;35;UHD Graphics 730;t;test
1417;Core i5-14600KF;293.99;14;3.5;5.3;125;;t;LGA 1700
1419;Core i9-14900KF;509.14;24;3.2;6;125;;t;LGA 2011-3
1423;Core i5-14400F;199.99;10;2.5;4.7;65;;t;LGA 1700
1426;Core i5-14500;239.99;14;2.6;5;65;UHD Graphics 770;t;LGA 1700
1428;Core i5-12400;156.76;6;2.5;4.4;65;UHD Graphics 730;t;LGA 1700
1433;Core i9-13900KF;488.84;24;3;5.8;125;;t;LGA 1700
1437;Core i7-14700F;369.55;20;2.1;5.4;65;;t;LGA 1700
1442;Core i3-14100F;114.98;4;3.5;4.7;58;;t;LGA 1700
1446;Core i5-13500;244.85;14;2.5;4.8;65;UHD Graphics 770;t;LGA 1700
1447;Core i3-12100;116.98;4;3.3;4.3;60;UHD Graphics 730;t;LGA 1700
1448;Core i9-12900KF;339.55;16;3.2;5.2;125;;t;LGA 1700
1449;Core i7-12700F;249.99;12;2.1;4.9;65;;t;LGA 1700
1450;Core i3-13100F;109.99;4;3.4;4.5;58;;t;LGA 1700
1454;Core i9-13900KS;589.99;24;3;6;150;UHD Graphics 770;t;LGA 1700
1456;Core i7-13700F;349.98;16;2.1;5.2;65;;t;LGA 1700
1467;Core i7-14700;399.98;20;2.1;5.4;65;UHD Graphics 770;t;LGA 1700
1468;Core i5-13400;228.98;10;2.5;4.6;65;UHD Graphics 730;t;LGA 1700
1471;Core i3-14100;149;4;3.5;4.7;60;UHD Graphics 730;t;LGA 1700
1475;Core i7-12700;265.49;12;2.1;4.9;65;UHD Graphics 770;t;LGA 1700
1476;Core i9-12900KS;369;16;3.4;5.5;150;UHD Graphics 770;t;LGA 1700
1488;Core i5-14400;229.98;10;2.5;4.7;65;UHD Graphics 730;t;LGA 1700
1497;Core i7-13700;371.99;16;2.1;5.2;65;UHD Graphics 770;t;LGA 1700
1402;Threadripper 3990X;4255;64;2.9;4.3;280;;t;LGA 1700
1498;Core i5-12500;195.98;6;3;4.6;65;UHD Graphics 770;t;LGA 1700
1505;Core i9-14900;554.99;24;2;5.8;65;UHD Graphics 770;t;LGA 1700
1710;Core i7-980X Extreme Edition;153.64;6;3.33;;130;;t;LGA 1700
1711;Xeon E5-2690 V4;1025.58;14;2.6;3.5;135;;t;LGA 1700
1520;Core i9-14900F;528.99;24;2;5.8;65;;t;LGA 1700
1850;FX-8150;;8;3.6;;125;;f;LGA 1700
1979;Opteron 6378;;16;2.4;3.3;115;;f;LGA 1700
45;Ryzen 5 8500G;179;6;4.1;5;65;Radeon 740M;t;test
51;Ryzen 9 7900;369;12;3.6;5.4;65;Radeon;t;LGA 1700
52;Ryzen 7 8700G;329;8;4.2;5.1;65;Radeon 780M;t;LGA 1700
59;Ryzen 5 8600G;228.99;6;4.3;5;65;Radeon 760M;t;test
63;Ryzen 5 7500F;;6;3.7;5;65;;t;test
215;Ryzen 9 PRO 7945;;12;3.7;5.4;65;Radeon;t;LGA 1700
388;Ryzen 5 PRO 7645;;6;3.8;5.1;65;Radeon;t;AM3+
396;Ryzen 7 PRO 7745;;8;3.8;5.3;65;Radeon;t;G34
487;Ryzen 7 PRO 7745;;8;3.8;5.3;65;Radeon;t;AM5
1374;Ryzen 7 7800X3D;339;8;4.2;5;120;Radeon;t;AM5
1375;Ryzen 5 7600X;204.99;6;4.7;5.3;105;Radeon;t;AM5
1377;Ryzen 5 7600;185;6;3.8;5.1;65;Radeon;t;AM5
1382;Ryzen 7 7700X;288.81;8;4.5;5.4;105;Radeon;t;AM5
1383;Ryzen 9 7950X3D;564;16;4.2;5.7;120;Radeon;t;AM5
1393;Ryzen 9 7900X;396.58;12;4.7;5.6;170;Radeon;t;AM5
1401;Ryzen 7 7700;281.63;8;3.6;5.3;65;Radeon;t;AM5
1406;Ryzen 9 7900X3D;403.99;12;4.4;5.6;120;Radeon;t;AM5
1409;Ryzen 9 7950X;510.38;16;4.5;5.7;170;Radeon;t;AM5
1415;Ryzen 5 7500F;;6;3.7;5;65;;t;AM5
1418;Ryzen 5 8500G;179;6;4.1;5;65;Radeon 740M;t;AM5
44;Core i5-14600KF;293.99;14;3.5;5.3;125;;t;AM5
46;Core i9-14900KF;509.14;24;3.2;6;125;;t;AM5
50;Core i5-14400F;199.99;10;2.5;4.7;65;;t;AM5
53;Core i5-14500;239.99;14;2.6;5;65;UHD Graphics 770;t;AM5
55;Core i5-12400;156.76;6;2.5;4.4;65;UHD Graphics 730;t;AM5
60;Core i9-13900KF;488.84;24;3;5.8;125;;t;AM5
64;Core i7-14700F;369.55;20;2.1;5.4;65;;t;AM5
69;Core i3-14100F;114.98;4;3.5;4.7;58;;t;AM5
73;Core i5-13500;244.85;14;2.5;4.8;65;UHD Graphics 770;t;LGA 1700
74;Core i3-12100;116.98;4;3.3;4.3;60;UHD Graphics 730;t;LGA 1700
75;Core i9-12900KF;339.55;16;3.2;5.2;125;;t;LGA 1700
76;Core i7-12700F;249.99;12;2.1;4.9;65;;t;LGA 1700
77;Core i3-13100F;109.99;4;3.4;4.5;58;;t;LGA 1700
81;Core i9-13900KS;589.99;24;3;6;150;UHD Graphics 770;t;LGA 1700
83;Core i7-13700F;349.98;16;2.1;5.2;65;;t;LGA 1700
94;Core i7-14700;399.98;20;2.1;5.4;65;UHD Graphics 770;t;LGA 1700
95;Core i5-13400;228.98;10;2.5;4.6;65;UHD Graphics 730;t;LGA 1700
98;Core i3-14100;149;4;3.5;4.7;60;UHD Graphics 730;t;LGA 1700
102;Core i7-12700;265.49;12;2.1;4.9;65;UHD Graphics 770;t;LGA 1700
103;Core i9-12900KS;369;16;3.4;5.5;150;UHD Graphics 770;t;LGA 1700
