id;name;price;capacity;price_per_gb;type;cache;form_factor;interface
1;Samsung 980 Pro;169.99;2000;0.085;SSD;2048;M.2-2280;M.2 PCIe 4.0 X4
2;Kingston NV2;60.99;1000;0.061;SSD;;M.2-2280;M.2 PCIe 4.0 X4
3;Samsung 970 Evo Plus;97.5;1000;0.098;SSD;1024;M.2-2280;M.2 PCIe 3.0 X4
4;Samsung 990 Pro;318.35;4000;0.08;SSD;4096;M.2-2280;M.2 PCIe 4.0 X4
5;Crucial P3 Plus;69.98;1000;0.07;SSD;;M.2-2280;M.2 PCIe 4.0 X4
6;Samsung 980 Pro;106.13;1000;0.106;SSD;1024;M.2-2280;M.2 PCIe 4.0 X4
7;Samsung 990 Pro;169.99;2000;0.085;SSD;2048;M.2-2280;M.2 PCIe 4.0 X4
8;Crucial P3 Plus;117.99;2000;0.059;SSD;;M.2-2280;M.2 PCIe 4.0 X4
9;Western Digital Black SN850X;156.99;2000;0.078;SSD;;M.2-2280;M.2 PCIe 4.0 X4
10;Seagate Barracuda Compute;64.98;2000;0.032;7200;256;3.5;SATA 6.0 Gb/s
11;Western Digital Black SN850X;91.92;1000;0.092;SSD;;M.2-2280;M.2 PCIe 4.0 X4
12;Mushkin Source HC;2302.98;16000;0.144;SSD;;2.5;SATA 6.0 Gb/s
13;Kingston NV2;118;2000;0.059;SSD;;M.2-2280;M.2 PCIe 4.0 X4
14;Samsung 870 Evo;104.99;1000;0.105;SSD;1024;2.5;SATA 6.0 Gb/s
15;Western Digital Black SN770;84.15;1000;0.084;SSD;;M.2-2280;M.2 PCIe 4.0 X4
16;TEAMGROUP MP33;36.99;512;0.072;SSD;;M.2-2280;M.2 PCIe 3.0 X4
17;Sabrent Rocket 4 Plus;1189.99;8000;0.149;SSD;;M.2-2280;M.2 PCIe 4.0 X4
18;Samsung 970 Evo Plus;69.94;500;0.14;SSD;512;M.2-2280;M.2 PCIe 3.0 X4
19;Crucial P3;60.99;1000;0.061;SSD;;M.2-2280;M.2 PCIe 3.0 X4
20;Seagate IronWolf Pro;479.99;24000;0.02;7200;512;3.5;SATA 6.0 Gb/s
21;Samsung 990 Pro;110.08;1000;0.11;SSD;1024;M.2-2280;M.2 PCIe 4.0 X4
22;Western Digital Blue SN580;71;1000;0.071;SSD;;M.2-2280;M.2 PCIe 4.0 X4
23;Kingston NV2;42.99;500;0.086;SSD;;M.2-2280;M.2 PCIe 4.0 X4
24;Western Digital Black SN770;138.82;2000;0.069;SSD;;M.2-2280;M.2 PCIe 4.0 X4
25;Western Digital Black SN850X;309.99;4000;0.077;SSD;;M.2-2280;M.2 PCIe 4.0 X4
26;Seagate BarraCuda;79.99;4000;0.02;5400;256;3.5;SATA 6.0 Gb/s
27;Samsung 970 Evo Plus;149.99;2000;0.075;SSD;1024;M.2-2280;M.2 PCIe 3.0 X4
28;Western Digital Caviar Blue;39.18;1000;0.039;7200;64;3.5;SATA 6.0 Gb/s
29;Crucial P3 Plus;237.99;4000;0.059;SSD;;M.2-2280;M.2 PCIe 4.0 X4
30;Intel 750;2488.87;1200;2.074;SSD;;PCIe;PCIe x4
31;Samsung 870 Evo;189.99;2000;0.095;SSD;2048;2.5;SATA 6.0 Gb/s
32;Silicon Power UD90;108.99;2000;0.054;SSD;;M.2-2280;M.2 PCIe 4.0 X4
33;TEAMGROUP MP44L;64.98;1000;0.065;SSD;;M.2-2280;M.2 PCIe 4.0 X4
34;Silicon Power A60;60.99;1000;0.061;SSD;;M.2-2280;M.2 PCIe 3.0 X4
35;TEAMGROUP MP44L;114.99;2000;0.057;SSD;;M.2-2280;M.2 PCIe 4.0 X4
36;TEAMGROUP MP33;61.99;1000;0.062;SSD;;M.2-2280;M.2 PCIe 3.0 X4
37;Western Digital Blue SN580;124;2000;0.062;SSD;;M.2-2280;M.2 PCIe 4.0 X4
38;Acer Predator GM7000;;2000;;SSD;2048;M.2-2280;M.2 PCIe 4.0 X4
39;Samsung 870 QVO;594.9;8000;0.074;SSD;;2.5;SATA 6.0 Gb/s
40;Crucial T700;426.99;4000;0.107;SSD;;M.2-2280;M.2 PCIe 5.0 X4
41;Seagate BarraCuda;45;1000;0.045;7200;64;3.5;SATA 6.0 Gb/s
42;TEAMGROUP MP33;105.99;2000;0.053;SSD;;M.2-2280;M.2 PCIe 3.0 X4
43;Samsung 980;89.99;1000;0.09;SSD;;M.2-2280;M.2 PCIe 3.0 X4
44;Crucial T500;138.99;2000;0.069;SSD;;M.2-2280;M.2 PCIe 4.0 X4
45;Crucial P3;51.6;500;0.103;SSD;;M.2-2280;M.2 PCIe 3.0 X4
46;Western Digital Gold;599.99;24000;0.025;7200;512;3.5;SATA 6.0 Gb/s
47;Crucial T705;484.99;4000;0.121;SSD;;M.2-2280;M.2 PCIe 5.0 X4
48;Samsung 990 EVO;89.99;1000;0.09;SSD;;M.2-2280;M.2 PCIe 5.0 X2
49;Kingston KC3000;162.99;2048;0.08;SSD;;M.2-2280;M.2 PCIe 4.0 X4
50;Samsung 990 Pro w/Heatsink;322.62;4000;0.081;SSD;4096;M.2-2280;M.2 PCIe 4.0 X4
51;Seagate Barracuda Compute;129.99;8000;0.016;5400;256;3.5;SATA 6.0 Gb/s
52;Samsung 870 Evo;79.98;500;0.16;SSD;512;2.5;SATA 6.0 Gb/s
53;Crucial T700;151.99;1000;0.152;SSD;;M.2-2280;M.2 PCIe 5.0 X4
54;Kingston A400;27.99;240;0.117;SSD;;2.5;SATA 6.0 Gb/s
55;Samsung 980 Pro;89.99;500;0.18;SSD;512;M.2-2280;M.2 PCIe 4.0 X4
56;Crucial P3;123.99;2000;0.062;SSD;;M.2-2280;M.2 PCIe 3.0 X4
57;SK Hynix Platinum P41;164.99;2000;0.082;SSD;;M.2-2280;M.2 PCIe 4.0 X4
58;Crucial T500;79.98;1000;0.08;SSD;;M.2-2280;M.2 PCIe 4.0 X4
59;MSI SPATIUM M482;131.98;2000;0.066;SSD;;M.2-2280;M.2 PCIe 4.0 X4
60;Samsung 870 Evo;372.99;4000;0.093;SSD;4096;2.5;SATA 6.0 Gb/s
61;Lexar NM790;148.36;2000;0.074;SSD;;M.2-2280;M.2 PCIe 4.0 X4
62;Lexar NM710;69.98;1000;0.07;SSD;;M.2-2280;M.2 PCIe 4.0 X4
63;MSI SPATIUM M371;64.99;1000;0.065;SSD;;M.2-2280;M.2 PCIe 3.0 X4
64;Western Digital Blue;64.98;2000;0.032;7200;256;3.5;SATA 6.0 Gb/s
65;Patriot P300;21.99;256;0.086;SSD;;M.2-2280;M.2 PCIe 3.0 X4
66;Crucial T700;269.99;2000;0.135;SSD;;M.2-2280;M.2 PCIe 5.0 X4
67;Corsair MP600 PRO NH;979.99;8000;0.122;SSD;;M.2-2280;M.2 PCIe 4.0 X4
68;TEAMGROUP T-Force Vulcan Z;56.99;1000;0.057;SSD;;2.5;SATA 6.0 Gb/s
69;Samsung 990 EVO;155.99;2000;0.078;SSD;;M.2-2280;M.2 PCIe 5.0 X2
70;Crucial MX500;87.74;1000;0.088;SSD;1024;2.5;SATA 6.0 Gb/s
71;Leven JS600;13.99;128;0.109;SSD;;2.5;SATA 6.0 Gb/s
72;Crucial P3 Plus;54.49;500;0.109;SSD;;M.2-2280;M.2 PCIe 4.0 X4
73;Western Digital Green SN350;64.98;1000;0.065;SSD;;M.2-2280;M.2 PCIe 3.0 X4
74;MSI SPATIUM M570 HS;199.99;2000;0.1;SSD;4096;M.2-2280;M.2 PCIe 5.0 X4
75;Patriot P300;36.99;512;0.072;SSD;;M.2-2280;M.2 PCIe 3.0 X4
76;Lexar NM790;91.38;1000;0.091;SSD;;M.2-2280;M.2 PCIe 4.0 X4
77;Kingston KC3000;99.99;1024;0.098;SSD;;M.2-2280;M.2 PCIe 4.0 X4
78;Western Digital Blue SN570;69.99;1000;0.07;SSD;;M.2-2280;M.2 PCIe 3.0 X4
79;Crucial P5 Plus;192.77;2000;0.096;SSD;2048;M.2-2280;M.2 PCIe 4.0 X4
80;Western Digital Blue SN570;43.93;500;0.088;SSD;;M.2-2280;M.2 PCIe 3.0 X4
81;Lexar NM620;71.45;1000;0.071;SSD;;M.2-2280;M.2 PCIe 3.0 X4
82;VisionTek QLC;1499.99;8000;0.187;SSD;;M.2-2280;M.2 PCIe 3.0 X4
83;Acer Predator GM7000;84.99;1000;0.085;SSD;1024;M.2-2280;M.2 PCIe 4.0 X4
84;Seagate BarraCuda;28;1000;0.028;7200;64;3.5;SATA 6.0 Gb/s
85;Sabrent Rocket 5;729.99;4000;0.182;SSD;;M.2-2280;M.2 PCIe 5.0 X4
86;Samsung 980 Pro w/Heatsink;183.55;2000;0.092;SSD;2048;M.2-2280;M.2 PCIe 4.0 X4
87;Samsung 990 Pro w/Heatsink;189.99;2000;0.095;SSD;2048;M.2-2280;M.2 PCIe 4.0 X4
88;Western Digital WD_BLACK;139.99;4000;0.035;7200;256;3.5;SATA 6.0 Gb/s
89;Kingston A400;37.79;480;0.079;SSD;;2.5;SATA 6.0 Gb/s
90;Kingston NV2;31.99;250;0.128;SSD;;M.2-2280;M.2 PCIe 4.0 X4
91;Kingston Fury Renegade;172.99;2000;0.086;SSD;;M.2-2280;M.2 PCIe 4.0 X4
92;Patriot P300;58.99;1000;0.059;SSD;;M.2-2280;M.2 PCIe 3.0 X4
93;MSI SPATIUM M480 PRO;84;1000;0.084;SSD;;M.2-2280;M.2 PCIe 4.0 X4
94;Patriot P300;17.98;128;0.14;SSD;;M.2-2280;M.2 PCIe 3.0 X4
95;Crucial MX500;159.99;2000;0.08;SSD;2048;2.5;SATA 6.0 Gb/s
96;Leven JPS800;59.99;1000;0.06;SSD;;M.2-2280;M.2 PCIe 4.0 X4
97;Samsung 980 Pro w/Heatsink;119.99;1000;0.12;SSD;1024;M.2-2280;M.2 PCIe 4.0 X4
98;Corsair MP600 PRO XT;969.99;8000;0.121;SSD;;M.2-2280;M.2 PCIe 4.0 X4
99;Western Digital Black SN770;69.92;500;0.14;SSD;;M.2-2280;M.2 PCIe 4.0 X4
100;TEAMGROUP T-Force Vulcan Z;30.99;512;0.061;SSD;;2.5;SATA 6.0 Gb/s
101;Seagate IronWolf Pro;101.91;4000;0.025;7200;256;3.5;SATA 6.0 Gb/s
102;Leven JPS600;101.99;2000;0.051;SSD;;M.2-2280;M.2 PCIe 3.0 X4
103;Corsair Neutron XTi;;1920;;SSD;;2.5;SATA 6.0 Gb/s
104;Samsung 980;73.98;500;0.148;SSD;;M.2-2280;M.2 PCIe 3.0 X4
105;Kingston A400;61.99;960;0.065;SSD;;2.5;SATA 6.0 Gb/s
106;TEAMGROUP MS30;33.99;512;0.066;SSD;;M.2-2280;M.2 SATA
107;Lexar NM790;259.99;4000;0.065;SSD;;M.2-2280;M.2 PCIe 4.0 X4
108;Samsung 860 Evo;149.99;1000;0.15;SSD;1024;2.5;SATA 6.0 Gb/s
109;Seagate Exos X14;198.99;12000;0.017;7200;256;3.5;SATA 6.0 Gb/s
110;Samsung 970 Evo Plus;61.26;250;0.245;SSD;512;M.2-2280;M.2 PCIe 3.0 X4
111;Crucial MX500;53;500;0.106;SSD;512;2.5;SATA 6.0 Gb/s
112;TEAMGROUP T-Force Vulcan Z;96.99;2000;0.048;SSD;;2.5;SATA 6.0 Gb/s
113;Silicon Power UD90;71.98;1000;0.072;SSD;;M.2-2280;M.2 PCIe 4.0 X4
114;Silicon Power UD90;214.99;4000;0.054;SSD;;M.2-2280;M.2 PCIe 4.0 X4
115;Crucial P3;240.75;4000;0.06;SSD;;M.2-2280;M.2 PCIe 3.0 X4
116;Corsair MP600 CORE XT;139.99;2000;0.07;SSD;;M.2-2280;M.2 PCIe 4.0 X4
117;TEAMGROUP MP44;123.99;2000;0.062;SSD;;M.2-2280;M.2 PCIe 4.0 X4
118;Solidigm P41 Plus;69.99;1000;0.07;SSD;;M.2-2280;M.2 PCIe 4.0 X4
119;Crucial T705 W/Heatsink;549.99;4000;0.137;SSD;;M.2-2280;M.2 PCIe 5.0 X4
120;MSI SPATIUM M450;74.99;1000;0.075;SSD;;M.2-2280;M.2 PCIe 4.0 X4
121;Toshiba MK3276GSX;12.99;320;0.041;5400;8;2.5;SATA 3.0 Gb/s
122;Corsair MP600 CORE XT;77.98;1000;0.078;SSD;;M.2-2280;M.2 PCIe 4.0 X4
123;Silicon Power UD85;114.99;2000;0.057;SSD;;M.2-2280;M.2 PCIe 4.0 X4
124;HP FX900;;1000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
125;Crucial T705;279.99;2000;0.14;SSD;;M.2-2280;M.2 PCIe 5.0 X4
126;Crucial P5 Plus;138.75;1000;0.139;SSD;1024;M.2-2280;M.2 PCIe 4.0 X4
127;Seagate SuperSpeed HDD;;1000;;;64;2.5;SATA 6.0 Gb/s
128;Western Digital Blue;72.99;4000;0.018;5400;256;3.5;SATA 6.0 Gb/s
129;ADATA XPG GAMMIX S70 Blade;99.99;1000;0.1;SSD;;M.2-2280;M.2 PCIe 4.0 X4
130;Kingston Fury Renegade;99.99;1000;0.1;SSD;;M.2-2280;M.2 PCIe 4.0 X4
131;Solidigm P41 Plus;117.99;2000;0.059;SSD;;M.2-2280;M.2 PCIe 4.0 X4
132;Patriot Burst Elite;13.99;120;0.117;SSD;;2.5;SATA 6.0 Gb/s
133;Seagate BarraCuda;64.34;2000;0.032;7200;64;3.5;SATA 6.0 Gb/s
134;Samsung 990 Pro w/Heatsink;119.99;1000;0.12;SSD;1024;M.2-2280;M.2 PCIe 4.0 X4
135;TEAMGROUP MP44;233.99;4000;0.058;SSD;;M.2-2280;M.2 PCIe 4.0 X4
136;Lexar NM620;125.17;2000;0.063;SSD;;M.2-2280;M.2 PCIe 3.0 X4
137;Crucial BX500;71.14;1000;0.071;SSD;;2.5;SATA 6.0 Gb/s
138;ADATA XPG GAMMIX S70 Blade;149.99;2000;0.075;SSD;;M.2-2280;M.2 PCIe 4.0 X4
139;Seagate Exos X18;329.99;18000;0.018;7200;256;3.5;SATA 6.0 Gb/s
140;Corsair MP600 CORE XT;259.99;4000;0.065;SSD;;M.2-2280;M.2 PCIe 4.0 X4
141;Intel DC P3600;1500;1200;1.25;SSD;;PCIe;PCIe x4
142;Seagate ST6000NM0024;82;6000;0.014;7200;128;3.5;SATA 6.0 Gb/s
143;Western Digital Blue;122;1000;0.122;SSD;;2.5;SATA 6.0 Gb/s
144;SK Hynix Platinum P41;94.99;1000;0.095;SSD;;M.2-2280;M.2 PCIe 4.0 X4
145;Seagate Barracuda Compute;121.99;8000;0.015;5400;256;3.5;SATA 6.0 Gb/s
146;Western Digital Black SN750;76.98;1000;0.077;SSD;;M.2-2280;M.2 PCIe 3.0 X4
147;Samsung 860 Evo;109.99;500;0.22;SSD;512;2.5;SATA 6.0 Gb/s
148;Seagate Surveillance HDD;72;1000;0.072;5400;64;3.5;SATA 6.0 Gb/s
149;TEAMGROUP MS30;55.99;1000;0.056;SSD;;M.2-2280;M.2 SATA
150;Samsung 970 Evo;162.9;1000;0.163;SSD;1024;M.2-2280;M.2 PCIe 3.0 X4
151;Corsair MP600;159.99;2000;0.08;SSD;;M.2-2280;M.2 PCIe 4.0 X4
152;Kingston NV2;250;4000;0.062;SSD;;M.2-2280;M.2 PCIe 4.0 X4
153;TEAMGROUP MP34;225.99;4000;0.056;SSD;;M.2-2280;M.2 PCIe 3.0 X4
154;Sabrent Rocket 4.0;99.99;1000;0.1;SSD;;M.2-2280;M.2 PCIe 4.0 X4
155;Crucial T705;164.99;1000;0.165;SSD;;M.2-2280;M.2 PCIe 5.0 X4
156;KingSpec XG7000;127.99;2000;0.064;SSD;;M.2-2280;M.2 PCIe 4.0 X4
157;Klevv CRAS C910;64.98;1000;0.065;SSD;;M.2-2280;M.2 PCIe 4.0 X4
158;Acer Predator GM7000;274.99;4000;0.069;SSD;4096;M.2-2280;M.2 PCIe 4.0 X4
159;Samsung 850 Evo;;250;;SSD;;2.5;SATA 6.0 Gb/s
160;TEAMGROUP T-Force Vulcan Z;27.99;480;0.058;SSD;;2.5;SATA 6.0 Gb/s
161;Crucial T700 W/Heatsink;446.99;4000;0.112;SSD;;M.2-2280;M.2 PCIe 5.0 X4
162;Samsung 870 Evo;30.98;250;0.124;SSD;512;2.5;SATA 6.0 Gb/s
163;Seagate IronWolf NAS;94.89;4000;0.024;5400;256;3.5;SATA 6.0 Gb/s
164;Western Digital Ultrastar DC HC550;238.99;16000;0.015;7200;512;3.5;SATA 6.0 Gb/s
165;Western Digital Black SN850X w/Heatsink;173.99;2000;0.087;SSD;;M.2-2280;M.2 PCIe 4.0 X4
166;Crucial MX500;273.49;4000;0.068;SSD;;2.5;SATA 6.0 Gb/s
