id;name;price;type;efficiency;wattage;modular;color
1;Corsair RM750e (2023);99.99;ATX;gold;750;Full;Black
2;Corsair RM850e (2023);119.99;ATX;gold;850;Full;Black
3;Corsair RM1000e (2023);159.99;ATX;gold;1000;Full;Black
4;Corsair RM650 (2023);89.99;ATX;gold;650;Full;Black
5;MSI MAG A650BN;59;ATX;bronze;650;false;Black
6;MSI MAG A850GL PCIE5;89.99;ATX;gold;850;Full;Black
7;Corsair CX650M (2021);79.99;ATX;bronze;650;Semi;Black
8;MSI MAG A550BN;49;ATX;bronze;550;false;Black
9;Corsair SF750;184.99;SFX;platinum;750;Full;
10;Corsair RM850;124.99;ATX;gold;850;Full;White / Black
11;Corsair RM850x (2021);149.99;ATX;gold;850;Full;Black
12;Thermaltake Smart;39.06;ATX;plus;500;false;
13;Cooler Master MWE Gold 850 - V2;89.99;ATX;gold;850;Full;Black
14;Corsair RM1000x (2021);159.99;ATX;gold;1000;Full;Black
15;Asus ROG THOR 1600T Gaming;699.99;ATX;titanium;1600;Full;Silver / Black
16;Thermaltake Smart;40.99;ATX;plus;600;false;
17;MSI MAG A750GL PCIE5;89;ATX;gold;750;Full;Black
18;MSI MAG A650GL;79.98;ATX;gold;650;Full;Black
19;Corsair SF850L;144.05;SFX;gold;850;Full;Black
20;SeaSonic FOCUS GX;74.99;ATX;gold;750;Full;Black
21;Apevia Galaxy;54.99;ATX;gold;650;Semi;Black
22;Corsair HX1500i (2023);359.99;ATX;platinum;1500;Full;Black
23;SeaSonic FOCUS Plus 650 Gold;126.47;ATX;gold;650;Full;
24;Corsair RM750;109.99;ATX;gold;750;Full;White / Black
25;be quiet! Pure Power 12 M;89.9;ATX;gold;750;Full;Black
26;be quiet! Pure Power 12 M;99.9;ATX;gold;850;Full;Black
27;Gigabyte UD750GM;92.12;ATX;gold;750;Full;Black
28;Corsair RM750x (2021);99.99;ATX;gold;750;Full;Black
29;Corsair CX750M (2021);89.95;ATX;bronze;750;Semi;Black
30;Thermaltake Toughpower GF A3 Snow;119.99;ATX;gold;850;Full;White
31;MSI A1000G PCIE5;157.99;ATX;gold;1000;Full;Black
32;Corsair SF1000L;156.94;SFX;gold;1000;Full;Black
33;Corsair CX (2023);74.98;ATX;bronze;750;false;Black
34;Silverstone HELA;622.29;ATX;;2050;Full;Black / White
35;Corsair CX (2023);64.98;ATX;bronze;650;false;Black
36;Corsair AX1600i;609.94;ATX;titanium;1600;Full;
37;Apevia Prestige;51.99;ATX;gold;600;false;Black
38;be quiet! Dark Power 13;229.9;ATX;titanium;1000;Full;Black
39;Corsair CV650;;ATX;bronze;650;false;Black
40;EVGA 650 B5;74.99;ATX;bronze;650;Full;Black
41;Thermaltake Toughpower GX2;59.99;ATX;gold;600;false;Black
42;Corsair RMe (2023);169.99;ATX;gold;1200;Full;Black
43;Cooler Master V750 SFX GOLD;104.99;SFX;gold;750;Full;Black
44;SeaSonic FOCUS GX-1000 ATX 3.0;139.99;ATX;gold;1000;Full;Black
45;EVGA 500 BR;59.99;ATX;bronze;500;false;
46;NZXT C850 (2022);99.99;ATX;gold;850;Full;Black
47;Corsair CX (2023);59.99;ATX;bronze;550;false;Black
